split,row_index,sonnet_id,candidate_index,rerank_score,POEMetric_proxy,sonnet_form_accuracy,exact_14_lines,line_count_score,line_length_score,shakespearean_rhyme_pair_score,final_couplet_rhyme,MATTR,distinct_2,lexical_diversity,repetition_rate,non_repetition,imagery_literary_device_score,prompt_continuation_theme_overlap,poemetric_overall_quality_proxy,sonnet_or_not_bot_pass,mbr_score,model_score,candidate_chrf,candidate_text
train,2,3,0,0.6840222998096279,0.7292092303822938,0.5371428571428571,1.0,1.0,0.7857142857142857,0.09999999999999999,0.0,0.9814084507042253,1.0,0.9907042253521127,0.06666666666666665,0.9333333333333333,0.638888888888889,0.6062500000000001,0.7648427230046949,0.0,0.5111783318733091,0.0,43.42504506251014,"Look in thy glass and tell the face thou viewest
Now is the time that face should form another,
Whose fresh repair if now thou not renewest,
Thy mood'st be added anew
to thee; wherewith it shalt
also dwell
The task of beautifying with new light. Then shall methought
she see thine eyes shine again: yet are they so
open as before? Thy gross body hath rendered its work
manifold after this eye had spent years! 'Twas going by
on each day his lean frame he thought was warm
or damp all night round him,—a world worthy dearer than
which yesterday nay saw dusky twinkling above Himideal veil—now I
check my ten-fold door strewn upon one wall"
train,2,3,1,0.5617008710597833,0.6204558954203692,0.5371428571428571,1.0,1.0,0.7857142857142857,0.09999999999999999,0.0,0.9639473684210527,1.0,0.9819736842105263,0.09599999999999997,0.904,0.3549242424242424,0.0,0.7127320574162679,0.0,0.5116003159325052,0.0,45.66342393198466,"Look in thy glass and tell the face thou viewest
Now is the time that face should form another,
Whose fresh repair if now thou not renewest,
Thou thinkst of its new
beauty. In thee can show
this thine anew to life
A shining example; so may set forth a work worthy
thereof! Thy eyes behold both truth's shine: for when we
speak from memory again at rest it lies still—a state
which they had scarcely seen begin with their soul.' (O
God!) Thou art true--and yet I have heard all my
heart say before he spoke thus,—'Tis easy,' said she doth
seem... When will her lips cease? Then his wit would
fill them like silver ink once flushed or half burned"
train,2,3,2,0.5572198630683068,0.6181956349206349,0.5085714285714286,1.0,1.0,0.6428571428571429,0.09999999999999999,0.0,0.9698412698412698,1.0,0.984920634920635,0.0625,0.9375,0.4847222222222222,0.0,0.731313492063492,0.0,0.49611035660423025,0.0,44.51816563654767,"Look in thy glass and tell the face thou viewest
Now is the time that face should form another,
Whose fresh repair if now thou not renewest,
Thou art new; but before
it a newer thing standst:
For what colour shineeth into
thee its replacement? knowleth his
clear ? from lightage begin thine visage. then sprayt forth
by store where sunrested steps lie round.—From one bright victor
to ten betrothed quickly wilt be all,—so like prattle—well we
prefer false beauty wholly up-raised whether gold or brass doth
appear as dearer than clay oil till pure devotion comes
over with each shade's rustic expanse unlook'd for after heirland
gone on"
train,2,3,3,0.6707523055061873,0.7124967052313883,0.5514285714285714,1.0,1.0,0.8571428571428571,0.09999999999999999,0.0,0.9729577464788732,1.0,0.9864788732394366,0.07499999999999996,0.925,0.37083333333333335,0.55,0.7264947183098591,0.0,0.5118177650533219,0.0,43.55581970304566,"Look in thy glass and tell the face thou viewest
Now is the time that face should form another,
Whose fresh repair if now thou not renewest,
Turn it into beauty's substance; 'tis art from thee thine
eye
Thines own most perfect painting which doth express how to
appear else'ry object. Then shalt Thou cease? Art there more
work than this or change again: yet whereof I have
seen none but my eyes do answer me thus,— ’O
love of men‡s creation ! If we be friends one
day together shall no longer speak with less power than
two nor even three! To-morrow will you lose touch witless
hearts—our lovers having died out before your looks are gone
;"
train,6,7,0,0.5832120056709543,0.6361829887218045,0.557142857142857,1.0,1.0,0.8214285714285714,0.14285714285714285,0.0,0.9772307692307692,1.0,0.9886153846153847,0.052631578947368474,0.9473684210526315,0.4041666666666667,0.0,0.739620951417004,0.0,0.48738628895407615,0.0,44.28096368061033,"Lo, in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
and all wreaths him with life's rays; while on highest
rise he strobeth
His beams of flame flickering forth from across His breastlet
meet: so close might be that rapture which by now!
ere hence could a quickest glance shine unguarded upon thee.
Then may this look beat ceaselessly as strong above spread
heaven unmixed : for if you stand still there is
no breath at once dainty or tranquil — nothing else
but indivisible joy ! And thus can we see what
hath certain beauties told us throughout our lives ? What
beauty did"
train,6,7,1,0.645452814042665,0.671548732122308,0.6142857142857143,1.0,1.0,0.8928571428571429,0.2857142857142857,0.0,0.9855696202531645,1.0,0.9927848101265823,0.0625,0.9375,0.47462121212121217,0.05625,0.7687643843498274,0.0,0.4935211316670418,0.0,42.14979044983998,"Lo, in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
and lifts a beam from it
Grows steadily towards him; at that moment he appears as
one with fire rising on His right. Immediately after this
ray of glory comes: look! above all these rays are
luminous eyes,—for those who gaze upon them must say I
am moving here slowly—and yet they wait until their own
bright red form is no longer there before my face.—When
Nature's grace has subdued mankind for ever through reason alone
unto me (the truth), behold what an hour will be
left undone till then thou shalt see thy days return
back again into eternity’s eternal"
train,6,7,2,0.5697872187187459,0.6173431799838579,0.5285714285714286,1.0,1.0,0.6785714285714286,0.14285714285714285,0.0,0.9403389830508474,1.0,0.9701694915254238,0.11111111111111116,0.8888888888888888,0.2858333333333334,0.05625,0.6926395951035782,0.0,0.47626815699531283,0.0,41.110524403479765,"Lo, in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
bear beholding; His pallbearers gaze with warm rays
Wide from him beams of
sultry glow. Owinglessly glowing He
lifts! and blest One whom
all rest is gazing on
- as he prays for us First Lorn April Dawns
White Throne: From that great beauty--and tell me who it
was That spent our lives so dearly? To see I
weep at thy presence now moving... ... Indescribably you ev'n
God's blessed words or Him Who proclaim'd true Youth after
constant retching & mendicant sighes (for what worth a"
train,6,7,3,0.567274581516666,0.6134983117050217,0.5357142857142857,1.0,1.0,0.7142857142857143,0.14285714285714285,0.0,0.9555223880597015,1.0,0.9777611940298507,0.06034482758620685,0.9396551724137931,0.18416666666666667,0.0,0.6944790916109109,0.0,0.5010224065630066,0.0,44.53739770186271,"Lo, in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
touch him with an incisive gaze;
Till at last all four
limbs bow on high His
radiance,—the starlight of Galilee's glory appears from thence:—and then once
again he moves forth upon a glorious robe:-soweth still for
ever thy heavenly throne. And yet shall this countless power
wait? Thy hand clods before my feet’ and touches mine
foot along withered turf like that which now dost sit
among thee! No longer they fear I wreath their sacred
veil save these one sweet paltry garments whose leaves are
deep golden gold ! Oh"
train,10,11,0,0.5454707068428066,0.6003443268152946,0.5228571428571429,1.0,1.0,0.7142857142857143,0.09999999999999999,0.0,0.9461290322580646,1.0,0.9730645161290323,0.11711711711711714,0.8828828828828829,0.13611111111111113,0.0,0.6674035164196455,0.0,0.4811077143045477,0.0,41.3008885429205,"As fast as thou shalt wane, so fast thou grow'st
In one of thine, from that which thou departest;
And that fresh blood which youngly thou bestow'st
:
Thou art in thy vigor three-fold more quickly runneth.
Then to thee wit shall
appear quickness for ever onward,—breathe
a very high stand—gather round
it sufficiency! (Be amazed at
the dearth!) Thus be done till over there is abundant
fruitment -twixt this tale and mysticity?(For I show how they
were born not on by chance--yet die hard)- ""If Art
ten years old,"" says he softly enough |d shrink back
with his tears sobering him �let alone roost until summer."""
train,10,11,1,0.5476182201643656,0.604258670006464,0.5228571428571429,1.0,1.0,0.7142857142857143,0.09999999999999999,0.0,0.9394117647058823,1.0,0.9697058823529412,0.1282051282051282,0.8717948717948718,0.26583333333333337,0.0,0.6832501885369532,0.0,0.4954468504969632,0.0,42.07314932863618,"As fast as thou shalt wane, so fast thou grow'st
In one of thine, from that which thou departest;
And that fresh blood which youngly thou bestow'st
outthou'rd:-twixt thy præseness doth come
forth. And thus shallst thee
in the next year die!’Tis
a sowery day for him
who hast'd to reap all his gain,—a loss—and then must
he be brought again into being by this life? “Thrice
is not but what I have done wrong myself and
other men at my death.—Now wouldn't she tell how much
longer if those two days were like mine now or
later?' So you think your mind when Thou art on
earth 'safe with us"
